,nums,labels
0,firehundrede og enogtredive; femhundrede og treogfyrre,1
104,firehundrede og treogfyrre; treoghalvfjerds,0
105,ethundrede og tretten; ottehundrede og fjorten,1
106,ethundrede; syvhundrede og treds,1
107,syvhundrede og fireogtreds; sekshundrede og fireogtredive,0
108,firehundrede og treogtyve; nihundrede og fire,1
109,ethundrede og fjorten; treoghalvfjerds,0
110,nihundrede og syvogfyrre; nihundrede og fem,0
111,syvogtredive; nihundrede og seksogtreds,1
112,treogtredive; ethundrede og niogfirs,1
113,sekshundrede og syvogtreds; tohundrede og toogtreds,0
114,sekshundrede og syvogtyve; sekshundrede og atten,0
115,ottehundrede og fireogtreds; femhundrede og toogtreds,0
116,nihundrede og seksogtredive; nihundrede og femten,0
117,tohundrede og fyrre; femhundrede og fyrre,1
118,femhundrede og otte; femhundrede og femogfirs,1
119,firehundrede og enogfirs; femhundrede og tooghalvtreds,1
120,firehundrede og tre; nihundrede og tyve,1
121,trehundrede og treogtreds; firehundrede og tolv,1
122,tohundrede og nitten; sekshundrede og femogtredive,1
123,nihundrede og enoghalvtreds; nihundrede og femogtredive,0
124,femhundrede og tredive; trehundrede og niogfyrre,0
125,nihundrede og enoghalvtreds; trehundrede og treogtredive,0
126,nihundrede og niogtredive; trehundrede og seksoghalvfems,0
127,ethundrede og enoghalvtreds; seks,0
128,tohundrede og tolv; ethundrede og et,0
129,ottehundrede og fireogtreds; nihundrede og otteogtyve,1
130,syvhundrede og nioghalvfjerds; ethundrede og femoghalvtreds,0
131,ottehundrede og toogfirs; sekshundrede og niogtyve,0
132,firehundrede og seks; ethundrede og niogfyrre,0
133,nihundrede og fireogfirs; firehundrede og tooghalvfjerds,0
134,ottehundrede og otteogtredive; trehundrede og nitten,0
135,nihundrede og nioghalvtreds; ethundrede og femogtyve,0
136,ottehundrede og treoghalvtreds; sekshundrede og tolv,0
137,ethundrede og otteoghalvtreds; syvhundrede og toogfirs,1
138,sekshundrede og seksogfyrre; toogfyrre,0
139,nihundrede og otteoghalvfems; syvhundrede og treoghalvfems,0
140,ethundrede og halvfjerds; ottehundrede og seksogtredive,1
141,sekshundrede og fireogfirs; femhundrede og toogtredive,0
142,firehundrede og halvfjerds; nihundrede og niogtyve,1
143,ethundrede og syvoghalvtreds; tohundrede og toogfyrre,1
144,trehundrede og femogfirs; ottehundrede og niogtredive,1
145,ottehundrede og nioghalvfjerds; sekshundrede og tooghalvfems,0
146,nihundrede og fjorten; firehundrede og niogfirs,0
147,nihundrede og treogfyrre; firehundrede og toogfirs,0
148,femhundrede og fem; ottehundrede og syvogtreds,1
149,tohundrede og treds; nihundrede og niogfyrre,1
150,syvhundrede og fire; nioghalvtreds,0
151,trehundrede og ti; trehundrede og treds,1
152,firehundrede og enogtreds; ottehundrede og femten,1
153,nihundrede og halvfems; ethundrede og femogtredive,0
154,trehundrede og femten; tohundrede og treogfirs,0
155,sekshundrede og tretten; tohundrede og seksoghalvtreds,0
156,femhundrede og treogtreds; seksogtredive,0
157,sekshundrede og tooghalvfjerds; sekshundrede og sytten,0
158,tredive; sytten,0
159,firehundrede og niogtyve; trehundrede og halvfems,0
160,firehundrede og nioghalvfems; syvhundrede og halvtreds,1
161,femhundrede og enoghalvfems; trehundrede og fireoghalvfems,0
162,nihundrede og fyrre; ottehundrede og nioghalvfems,0
163,nihundrede og otteoghalvfems; ottehundrede og treogtreds,0
164,tohundrede og fireogfirs; ottehundrede og toogfyrre,1
165,seksten; ethundrede og syvogtredive,1
166,ethundrede og syvogfyrre; firehundrede og toogfirs,1
167,ethundrede og fem; firehundrede og otteoghalvtreds,1
168,firehundrede og enoghalvfjerds; femhundrede og toogtyve,1
169,ottehundrede og fireogtredive; ottehundrede og tooghalvfems,1
170,sekshundrede og syvogfyrre; ethundrede og nitten,0
171,syvhundrede og to; tolv,0
172,ethundrede og fireogfyrre; trehundrede og fireogtreds,1
173,ethundrede og femogfirs; ethundrede og fireoghalvfems,1
174,sekshundrede og tolv; treoghalvtreds,0
175,firehundrede og et; sekshundrede og otteogtredive,1
176,nihundrede og et; nihundrede og seksogtyve,1
177,ottehundrede og niogtyve; femhundrede og enogfirs,0
178,ottehundrede og enoghalvtreds; nihundrede og seksten,1
179,ottehundrede og femogtyve; sekshundrede og treoghalvfjerds,0
180,trehundrede og halvtreds; femhundrede og treogtredive,1
181,femhundrede og enogfyrre; nihundrede og femogtredive,1
182,syvhundrede og otteoghalvtreds; nihundrede og femogtyve,1
183,tohundrede og ni; syvhundrede og nioghalvfjerds,1
184,toogtyve; syvhundrede og toogtreds,1
185,ethundrede og halvfems; sekshundrede og halvfjerds,1
186,nihundrede og to; syvhundrede og tooghalvfjerds,0
187,treoghalvfjerds; femhundrede og femogfirs,1
188,femhundrede og seksoghalvfems; tohundrede og tooghalvfems,0
189,enogfirs; syvhundrede og ni,1
190,syvhundrede og otteoghalvfjerds; femhundrede og tyve,0
191,femhundrede og seksten; femhundrede og fireogtreds,1
192,syvhundrede og fyrre; firehundrede og femogfyrre,0
193,ottehundrede og tolv; tohundrede og enogtreds,0
194,ottehundrede og seksogtredive; femhundrede og tretten,0
195,ottehundrede og enoghalvfems; ottehundrede og enogtreds,0
196,trehundrede og fireoghalvfems; nihundrede og otteogtreds,1
197,syvhundrede og femoghalvtreds; sekshundrede og otteogtreds,0
198,halvfems; sekshundrede og sytten,1
199,femhundrede og otteogtredive; trehundrede og halvfjerds,0
200,tohundrede og halvfems; ottehundrede og ti,1
201,firehundrede og fem; fireogfyrre,0
202,sekshundrede og seksoghalvfems; nihundrede og fire,1
203,trehundrede og treoghalvfjerds; ethundrede og treogtreds,0
204,niogfyrre; femhundrede og fireogtyve,1
205,nihundrede og nioghalvfjerds; tohundrede og seksoghalvtreds,0
206,nihundrede og fire; ottehundrede og enogtyve,0
207,firehundrede og enogfirs; ottehundrede og tre,1
208,syvhundrede og enogfyrre; firehundrede og firs,0
209,nihundrede og firs; sekshundrede og seksten,0
210,syvhundrede; ethundrede og otte,0
211,ottehundrede og syvogfyrre; syvogtredive,0
212,nihundrede og fireogfirs; ethundrede og enoghalvtreds,0
213,ottehundrede og fyrre; sekshundrede og enogtredive,0
214,trehundrede og niogfirs; syvhundrede og treogtreds,1
215,ethundrede og sytten; syvhundrede og syvogfyrre,1
216,syvhundrede og femogfirs; femhundrede og niogfyrre,0
217,nihundrede og femoghalvfjerds; syvhundrede og fem,0
218,sekshundrede og firs; firehundrede og otteogtredive,0
219,tohundrede og tyve; fyrre,0
220,ethundrede og enogtyve; tohundrede og toogtredive,1
221,tohundrede og treogfirs; ethundrede og halvfems,0
222,femhundrede og femoghalvtreds; firehundrede og otteogtyve,0
223,ottehundrede og sytten; syvhundrede og otteoghalvfems,0
224,trehundrede; firehundrede og otteoghalvtreds,1
225,firehundrede og syvoghalvfjerds; fireogtreds,0
226,nihundrede og tre; ethundrede og tyve,0
227,femhundrede og syvoghalvfjerds; tohundrede og enoghalvfjerds,0
228,ottehundrede og treogfirs; ethundrede og syvogfyrre,0
229,ethundrede og toogfyrre; nihundrede og sytten,1
230,trehundrede og halvtreds; sekshundrede og firs,1
231,tohundrede og otteogtredive; nihundrede og syvoghalvfems,1
232,ethundrede og otteogfyrre; sekshundrede og niogtyve,1
233,ottehundrede og syvogfyrre; trehundrede og seksoghalvtreds,0
234,firehundrede og femogfirs; firehundrede og femogfyrre,0
235,femhundrede og toogfyrre; tre,0
236,ottehundrede og nioghalvfems; syvhundrede og halvfjerds,0
237,tohundrede og nioghalvfems; tohundrede og niogtreds,0
238,syvhundrede og otteogtreds; ethundrede og tretten,0
239,sekshundrede og otteogfirs; firehundrede og femogtredive,0
240,sekshundrede og toogfyrre; firehundrede og fjorten,0
241,sekshundrede og treoghalvtreds; femhundrede og atten,0
242,seksten; trehundrede og fireoghalvtreds,1
243,sekshundrede og fireogfirs; syvhundrede og otteogtyve,1
244,syvhundrede og fireogfyrre; nihundrede og otteogfirs,1
245,sekshundrede og tre; sekshundrede og treogtyve,1
246,trehundrede og femogfirs; nihundrede og otteogtredive,1
247,sekshundrede og seksoghalvfjerds; firehundrede og fem,0
248,sekshundrede og femoghalvfems; ethundrede og femten,0
249,nihundrede og niogtreds; ethundrede og halvfjerds,0
250,tohundrede og toogfirs; trehundrede og niogtreds,1
251,tohundrede og enoghalvfems; ethundrede og tooghalvfems,0
252,trehundrede og niogtreds; toogtyve,0
253,sekshundrede og nioghalvtreds; firehundrede og ti,0
254,femoghalvfjerds; trehundrede og seksogfyrre,1
255,trehundrede og treoghalvtreds; nihundrede og otteoghalvtreds,1
256,ottehundrede og halvtreds; tohundrede og enogfyrre,0
257,tohundrede; sekshundrede og syvoghalvfjerds,1
258,sekshundrede og treogtreds; femhundrede og femten,0
259,trehundrede og treogfyrre; nihundrede og otte,1
260,tohundrede og et; ethundrede og enoghalvtreds,0
261,nihundrede og enogtreds; tohundrede og toogtreds,0
262,tohundrede og toogfyrre; firehundrede og to,1
263,syvhundrede og otteogtreds; syvhundrede og seksogtredive,0
264,tohundrede og femoghalvtreds; syvhundrede og halvfems,1
265,nihundrede og enogtyve; tohundrede og femogtredive,0
266,seksogfirs; femhundrede og femogtredive,1
267,nihundrede og seksoghalvtreds; firehundrede og tolv,0
268,tohundrede og femogtyve; nihundrede og tretten,1
269,syvhundrede og otteoghalvtreds; trehundrede og seksoghalvfems,0
270,ethundrede og niogtredive; fireogtredive,0
271,firehundrede og enogfyrre; syvoghalvfjerds,0
272,trehundrede og nitten; ottehundrede og otte,1
273,syvhundrede og otteoghalvfjerds; tohundrede og fjorten,0
274,syvhundrede og tre; ottehundrede og nioghalvfjerds,1
275,seksogfyrre; syvhundrede og enoghalvfjerds,1
276,sekshundrede og syvoghalvtreds; ottehundrede og firs,1
277,syvhundrede og ti; firehundrede og tredive,0
278,femhundrede og seksogtreds; trehundrede og niogfyrre,0
279,trehundrede og fireoghalvtreds; syvhundrede og seksogtreds,1
280,enogtredive; tohundrede og otteogfirs,1
281,firehundrede og sytten; ethundrede og tyve,0
282,ottehundrede og otteoghalvfjerds; femhundrede og seksten,0
283,femhundrede og seksogfyrre; ottehundrede og fireoghalvfems,1
284,fireogtyve; ottehundrede og halvfjerds,1
285,niogtredive; tohundrede og fyrre,1
286,syvhundrede og sytten; ethundrede og toogtredive,0
287,ethundrede og halvtreds; ottehundrede,1
288,tooghalvfems; firehundrede og seksoghalvfjerds,1
289,trehundrede og otteogtredive; firehundrede og fireogtredive,1
290,nihundrede og enogtredive; firehundrede og fireogfirs,0
291,ethundrede og seks; syvhundrede og fireogfirs,1
292,femhundrede og toogfirs; ottehundrede og femten,1
293,niogtyve; ottehundrede og otteogfyrre,1
294,seksoghalvfjerds; syvhundrede og enogtredive,1
295,trehundrede og toogfyrre; syvhundrede og tretten,1
296,femhundrede og otteoghalvfems; sekshundrede og tredive,1
297,firehundrede og femoghalvfems; sekshundrede og toogfirs,1
298,firehundrede og tooghalvtreds; ottehundrede og enoghalvfems,1
299,tohundrede og tooghalvtreds; nihundrede og seks,1
300,firehundrede og niogtyve; sekshundrede og et,1
301,sekshundrede og enoghalvtreds; tohundrede og tooghalvfjerds,0
302,syvhundrede og halvtreds; femhundrede og femogfyrre,0
303,ethundrede og toogfyrre; syvhundrede og fjorten,1
304,ethundrede og otteoghalvfems; trehundrede og tyve,1
305,ethundrede og otteogtredive; syvogfirs,0
306,trehundrede og femogtyve; syvhundrede og niogfirs,1
307,trehundrede og otteogtredive; sekshundrede og fireoghalvtreds,1
308,femhundrede og tooghalvfjerds; trehundrede og femoghalvtreds,0
309,trehundrede og otteoghalvtreds; firehundrede og syv,1
310,firehundrede og toogtreds; trehundrede og niogtyve,0
311,tohundrede og firs; trehundrede og seksten,1
312,femhundrede og niogfyrre; trehundrede og seksten,0
313,ethundrede og toogfyrre; nihundrede og enoghalvfems,1
314,firehundrede og fyrre; ottehundrede og halvtreds,1
315,tohundrede og femogtyve; seksoghalvfems,0
316,ottehundrede og seksoghalvtreds; firehundrede og tredive,0
317,sekshundrede og otte; femhundrede og treogtredive,0
318,tohundrede og toogfirs; nihundrede og tooghalvfjerds,1
319,sekshundrede og ti; nihundrede og femogtyve,1
320,trehundrede og treogfyrre; nihundrede og enogfirs,1
321,sekshundrede og seksogtredive; femhundrede og atten,0
322,sekshundrede og treogtyve; femhundrede og syvogtreds,0
323,tohundrede og seksogtyve; trehundrede,1
324,sekshundrede og enogfirs; ti,0
325,toogtredive; syvhundrede og tretten,1
326,tohundrede og firs; syvhundrede og syvogfyrre,1
327,ethundrede og tretten; trehundrede og niogfyrre,1
328,sekshundrede og syvoghalvfems; sekshundrede og niogtreds,0
329,ottehundrede og otteogtredive; tohundrede og toogtredive,0
330,sekshundrede og niogtyve; ethundrede og syvogfyrre,0
331,nihundrede og fireoghalvfjerds; femhundrede og halvfjerds,0
332,tohundrede og seksogfirs; firehundrede og ni,1
333,firehundrede og tre; ethundrede,0
334,otteoghalvfems; firehundrede og seksogtredive,1
335,syvhundrede og otteogtredive; trehundrede og treoghalvtreds,0
336,tohundrede og tooghalvtreds; ethundrede og femogfyrre,0
337,firehundrede og fireoghalvtreds; ottehundrede og fireogfirs,1
338,femhundrede og enoghalvfems; fireoghalvfjerds,0
339,treogtredive; sekshundrede og femogtreds,1
340,ethundrede og syvogtredive; syvhundrede og treogfirs,1
341,firehundrede og niogtyve; ottehundrede og seksogtyve,1
342,ottehundrede og seksoghalvfems; nihundrede og treogtyve,1
343,tohundrede og halvtreds; trehundrede og femoghalvfems,1
344,trehundrede og tredive; firehundrede og atten,1
345,syvhundrede og syvogtredive; firehundrede og ti,0
346,syvhundrede og toogtyve; trehundrede og syvogfyrre,0
347,toogtreds; tohundrede og otteogfirs,1
348,nihundrede og fireoghalvfjerds; syvhundrede og otteoghalvfjerds,0
349,ottehundrede og halvtreds; fjorten,0
350,trehundrede og otteogfirs; trehundrede og syvogtyve,0
351,ethundrede og niogtyve; treoghalvfjerds,0
352,ethundrede og seksogtyve; syvhundrede og ni,1
353,firehundrede og elleve; ottehundrede og nioghalvtreds,1
354,tohundrede og femogtreds; ottehundrede og tooghalvfems,1
355,sekshundrede og tooghalvtreds; syvhundrede og femogtreds,1
356,trehundrede og syvogfirs; syvhundrede og nioghalvfems,1
357,ottehundrede og fireogfyrre; syvogfyrre,0
358,sekshundrede og fyrre; tohundrede og tredive,0
359,sekshundrede og otteogfirs; sekshundrede og seksogtyve,0
360,nihundrede og syvogfirs; ethundrede og syvogtreds,0
361,tohundrede og fjorten; firehundrede og enoghalvfjerds,1
362,sekshundrede og toogtreds; nihundrede og nitten,1
363,femhundrede og halvtreds; nihundrede og otte,1
364,tohundrede og enoghalvtreds; ottehundrede og femoghalvfjerds,1
365,femhundrede og treoghalvfems; atten,0
366,firehundrede og otteoghalvfems; ottehundrede og fireoghalvfjerds,1
367,sekshundrede og treogtyve; syvhundrede og femogtredive,1
368,sekshundrede og seksogtyve; trehundrede og seksogtreds,0
369,syvhundrede og nioghalvfems; syvhundrede og tooghalvtreds,0
370,tohundrede og fjorten; femhundrede og syvogtredive,1
371,firehundrede og enoghalvfems; firehundrede og syvoghalvfems,1
372,trehundrede og halvtreds; trehundrede og femogfirs,1
373,syvhundrede og niogfirs; syvhundrede og tyve,0
374,ethundrede og fireogtredive; enoghalvfjerds,0
375,femhundrede og elleve; niogfirs,0
376,ethundrede og tretten; femhundrede og femogtyve,1
377,syvhundrede og halvfjerds; syvhundrede og otteoghalvfjerds,1
378,syvhundrede og niogtreds; femoghalvfems,0
379,sekshundrede og syvoghalvfjerds; syvhundrede og otteoghalvfjerds,1
380,femhundrede og sytten; nihundrede og otteogtredive,1
381,trehundrede og femoghalvfjerds; nihundrede og treds,1
382,femhundrede og enoghalvfems; nihundrede og fem,1
383,nihundrede og seksogfirs; trehundrede og seksten,0
384,trehundrede og toogtredive; ottehundrede og enogtreds,1
385,sekshundrede og fireogtreds; trehundrede og niogtyve,0
386,ottehundrede og niogfirs; trehundrede og seksogfirs,0
387,femhundrede og et; tohundrede og tredive,0
388,ethundrede og enogtyve; syvhundrede og fireogfirs,1
389,ethundrede og to; femhundrede og toogfirs,1
390,ethundrede og seksogtredive; nioghalvfems,0
391,femhundrede og nioghalvfems; nihundrede og elleve,1
392,firehundrede og otteogtreds; otteogtredive,0
393,trehundrede og niogfyrre; nihundrede og otteogtredive,1
394,syvhundrede og seksogfyrre; ottehundrede og otteoghalvtreds,1
395,ottehundrede og syvoghalvfjerds; firehundrede og seksoghalvfjerds,0
396,syvogtreds; firehundrede og et,1
397,nihundrede og femogtredive; firehundrede og syvoghalvtreds,0
398,syvhundrede og niogfyrre; ethundrede og to,0
399,tohundrede og enogtyve; trehundrede og syvogtyve,1
400,syvhundrede og enogtyve; ethundrede og to,0
401,tretten; tohundrede og niogfyrre,1
402,treds; ethundrede og enoghalvfjerds,1
403,nihundrede og toogtreds; ottehundrede og treoghalvfjerds,0
404,ethundrede og femogfyrre; femhundrede og toogtreds,1
405,femhundrede og fireoghalvtreds; syvhundrede og seksoghalvfems,1
406,nihundrede og fireoghalvfems; ethundrede og toogfyrre,0
407,femhundrede og seksoghalvfjerds; firehundrede og ni,0
408,femhundrede og niogtyve; firehundrede og halvtreds,0
409,syvhundrede og seksoghalvtreds; syvhundrede og syvoghalvfems,1
410,trehundrede og fireogtyve; syvhundrede,1
411,fireogtyve; trehundrede og syvogtredive,1
412,syvhundrede og et; nihundrede og treoghalvfems,1
413,firehundrede og ti; femhundrede og fireoghalvfjerds,1
414,tohundrede og treogfirs; firehundrede og femoghalvfjerds,1
415,nihundrede og elleve; firehundrede og fyrre,0
416,trehundrede og femoghalvtreds; ethundrede og treogtreds,0
417,sekshundrede og femogfyrre; sekshundrede og tyve,0
418,ottehundrede og enoghalvfems; firehundrede og ti,0
419,firehundrede og toogtyve; syvogfyrre,0
420,syvhundrede og femogfyrre; ottehundrede og toogfyrre,1
421,niogtyve; syvhundrede og tooghalvfjerds,1
422,ethundrede og treds; firehundrede og seksogtyve,1
423,ottehundrede og toogfyrre; trehundrede og halvfems,0
424,tohundrede og femoghalvfems; femhundrede og seksoghalvfjerds,1
425,ethundrede og toogtyve; firehundrede og femogtreds,1
426,nihundrede og syvogtreds; fireogtyve,0
427,syvhundrede og ti; femhundrede og halvtreds,0
428,sekshundrede og treogfyrre; firehundrede og enoghalvfems,0
429,femhundrede og tre; trehundrede og otteogtyve,0
430,trehundrede og femogfyrre; ethundrede og femoghalvfems,0
431,femhundrede og otteoghalvfjerds; femhundrede og fireoghalvfems,1
432,nihundrede og fjorten; nihundrede og syvoghalvfems,1
433,syvhundrede; trehundrede og seksogfirs,0
434,firehundrede og toogtreds; firehundrede og enoghalvfjerds,1
435,sekshundrede og nitten; firehundrede og syvogtyve,0
436,trehundrede og fireogfyrre; ottehundrede og femogtreds,1
437,syvhundrede og fireogtyve; syvhundrede og nioghalvtreds,1
438,syvhundrede og seksogtyve; sekshundrede og seksogtyve,0
439,firehundrede og seksoghalvfjerds; tohundrede og toogfyrre,0
440,trehundrede og halvtreds; femhundrede og tyve,1
441,nihundrede og syvoghalvfems; femogtyve,0
442,sekshundrede og halvtreds; trehundrede og toogfyrre,0
443,ethundrede og otteogfyrre; ethundrede og enogfyrre,0
444,ottehundrede og fire; trehundrede og fireogtyve,0
445,nihundrede og femogtyve; niogtyve,0
446,tohundrede og otteogfyrre; tohundrede og et,0
447,nihundrede og enogtreds; sekshundrede og otteogtreds,0
448,trehundrede og sytten; syvhundrede og tooghalvfems,1
449,femogtyve; ethundrede og treogfirs,1
450,syvhundrede og treogfirs; nihundrede og treogtredive,1
451,syvhundrede og femoghalvfjerds; trehundrede og syvogtyve,0
452,trehundrede og femten; fireoghalvtreds,0
453,sekshundrede og toogfyrre; sekshundrede og femoghalvfjerds,1
454,firehundrede og fireogfirs; syvhundrede og femoghalvfjerds,1
455,syvhundrede og enoghalvfjerds; ottehundrede og seks,1
456,firehundrede og seksogfirs; syvhundrede og seksogtyve,1
457,sekshundrede og syvogfyrre; tohundrede og tolv,0
458,tohundrede og halvtreds; sekshundrede og femoghalvfjerds,1
459,trehundrede og ti; firehundrede og niogfyrre,1
460,trehundrede og fireoghalvfems; sekshundrede og otteogtreds,1
461,firehundrede og otteogfyrre; nihundrede og femoghalvfems,1
462,syvhundrede og ti; femhundrede og niogtreds,0
463,trehundrede og fireogtyve; sekshundrede og enogtreds,1
464,tohundrede og fireogtreds; femhundrede og fire,1
465,sekshundrede og firs; sekshundrede og seksogtredive,0
466,seksoghalvfems; tohundrede og fireogtyve,1
467,femhundrede og toogtyve; femhundrede og syvogfirs,1
468,tohundrede og seksogtredive; ottehundrede og femogtredive,1
469,tohundrede og fireoghalvfems; ethundrede og niogtreds,0
470,tohundrede og enogtyve; sekshundrede og otteogfirs,1
471,trehundrede og niogfirs; tohundrede og niogfyrre,0
472,nihundrede og syvogtreds; nihundrede og halvfjerds,1
473,trehundrede og seksoghalvfjerds; ottehundrede og atten,1
474,syvhundrede og to; tohundrede og fireogfyrre,0
475,ethundrede og otteogfyrre; nihundrede og seksogtyve,1
476,syvhundrede og firs; ottehundrede og toogtyve,1
477,femhundrede og niogtyve; syvhundrede og fireoghalvfems,1
478,ethundrede og femogtredive; ottehundrede og tolv,1
479,firehundrede og seksoghalvfjerds; trehundrede og treogfirs,0
480,femhundrede og tooghalvtreds; ethundrede og tyve,0
481,firehundrede og tooghalvfems; firehundrede og niogtredive,0
482,nihundrede og femoghalvtreds; femhundrede og tre,0
483,tooghalvfems; nihundrede og femogfirs,1
484,tohundrede og fire; ottehundrede og enoghalvfjerds,1
485,syvhundrede og atten; nihundrede og treogtreds,1
486,nihundrede og elleve; femhundrede og nioghalvfems,0
