,nums,labels
0,百六十九; 四百五十九,1
485,四百五十六; 二百三十,0
486,九百二十六; 四百九十七,0
487,百九十六; 九百五十,1
488,四百八十三; 二百八,0
489,七百八十六; 六百七十五,0
490,二百四十二; 八百,1
491,三百六十; 八百三十七,1
492,三百六十四; 八百四十六,1
493,二百八十五; 十一,0
494,三百七十三; 九百六十二,1
495,九十二; 九百三,1
496,八十八; 百三十七,1
497,三百十; 五百十八,1
498,九百七十七; 四百四十六,0
499,二百五十三; 九百七十五,1
500,五百七十九; 四百二,0
501,六百五十九; 三百七十,0
502,五百四十二; 九百八十九,1
503,二百二十一; 三百四十九,1
504,七百五十五; 九百十二,1
505,七百十八; 九百九,1
506,百七十一; 四百六十五,1
507,四百六; 九百七十五,1
508,四百六十七; 六百十一,1
509,五百八十; 四百十三,0
510,四百四十二; 六百二,1
511,二百九; 三百八十五,1
512,六百十二; 六百九十五,1
513,五百二十六; 四百七十,0
514,二百十四; 三百五十七,1
515,五百五; 三百二十三,0
516,八百六十八; 八百,0
517,三百十八; 三百二十二,1
518,百八十六; 百二十一,0
519,百; 八百十三,1
520,六百二十二; 二百五,0
521,百六十四; 四百十二,1
522,五百八十七; 八百九十三,1
523,八十; 五百五十三,1
524,六百五十九; 七百五十,1
525,八百五十八; 四百八十一,0
526,九百六十七; 三百七十五,0
527,四百二十六; 百四十五,0
528,二百四十九; 四百十二,1
529,百九十五; 百八十五,0
530,五百二十五; 五百五十三,1
531,五百二十一; 五百二十三,1
532,二百十三; 六百十五,1
533,九百五十九; 百四十二,0
534,八百三十二; 百四十,0
535,五十七; 三百五十五,1
536,二百九十一; 七十二,0
537,八百七十八; 九百十九,1
538,八百四十八; 四百九十二,0
539,九百十一; 九百三十二,1
540,八百九十九; 五百六十四,0
541,九百八十五; 五百二十八,0
542,百六十三; 八百五十七,1
543,六百七十三; 九百九十四,1
544,二十七; 二百五十五,1
545,八百五十四; 七百六十九,0
546,八百八十六; 二百九,0
547,九百六十四; 六百八十二,0
548,十三; 九百二十四,1
549,五百八十六; 八百二十,1
550,四十六; 六百九十一,1
551,二十三; 五十三,1
552,六百七十八; 四百八十九,0
553,七百六; 八百二十二,1
554,六百四十一; 八百七十六,1
555,六百十九; 百三十八,0
556,四百四十九; 九百四十六,1
557,四百八; 四百九十五,1
558,五百八十六; 九百十,1
559,七百六十八; 八百七十三,1
560,百二十七; 五百四十八,1
561,百九十四; 四百七,1
562,七百九十四; 三百四十六,0
563,三百三十六; 八百四十六,1
564,四百六十四; 九百九十六,1
565,九百五; 百七十九,0
566,二百六十一; 七百四十二,1
567,八百七; 七百三十六,0
568,七百十九; 四百八十六,0
569,九百六十二; 八百六十六,0
570,四百八十五; 五百四,1
571,九百八十五; 三百十三,0
572,四百五十三; 六百五十四,1
573,七百九十三; 七十八,0
574,三百五; 九百七十六,1
575,八十四; 百四十九,1
576,四百三十一; 九百六十四,1
577,九百四十九; 四百八十二,0
578,三百六十六; 八百七十二,1
579,八百九十九; 七百四,0
580,九百十三; 五百三十一,0
581,九百六十九; 八百二十,0
582,四十四; 九百五十,1
583,六十九; 七百五十九,1
584,四百十; 七百五十二,1
585,二百七十六; 八百八十五,1
586,七十一; 二百五十一,1
587,四百十一; 三百十八,0
588,百八; 七百二十七,1
589,四百三十一; 四百八十七,1
590,四百一; 四百十七,1
591,九十二; 九,0
592,九百六十一; 八百八十九,0
593,五百八十八; 五百六十,0
594,九百九十九; 四百二十二,0
595,八百五十一; 二百三十七,0
596,六十三; 九十,1
597,八百七十五; 六百四十七,0
598,六百六十二; 二百九十二,0
599,六百五十; 七百六十七,1
600,五百三; 八百七十八,1
601,百四; 四百四十四,1
602,九十四; 三百九十九,1
603,二百五; 百九十九,0
604,九百七十八; 九百三十一,0
605,五百四十二; 九十四,0
606,百二十四; 四百二十八,1
607,四百十八; 七十七,0
608,百三十三; 六百三十七,1
609,五百二十七; 八百五十七,1
610,四百五十二; 二百七十八,0
611,五百九十一; 百六十一,0
612,八百九十二; 七百六十六,0
613,八百六十四; 七十八,0
614,三百四十六; 四百十六,1
615,八百八十; 九百八十四,1
616,三百八十八; 四百三十六,1
617,九百六十四; 七百六十九,0
618,五百八十八; 百八,0
619,二十六; 五百九十,1
620,百九十五; 四十二,0
621,八百十; 七百三十五,0
622,五百二十五; 二十五,0
623,九百十五; 百十六,0
624,百十五; 七百八十九,1
625,六百七十七; 二百八十五,0
626,九百八十一; 六百七十四,0
627,五百六十三; 九百二十七,1
628,十八; 八百八十五,1
629,三百四十; 七百四十九,1
630,九百九十九; 五百三十九,0
631,六百九十五; 二百五十八,0
632,五百五十四; 二百三十三,0
633,八百五十二; 八百二十九,0
634,三百五十一; 二百十二,0
635,七百八十五; 三百七十九,0
636,三百三十七; 五百五十五,1
637,六百八; 九百四十七,1
638,百八十; 十,0
639,二百八十二; 四百八十九,1
640,七百七十五; 十九,0
641,百九; 六百一,1
642,三百八十三; 八百九十四,1
643,九百四十六; 百四十,0
644,九百八十一; 五百七十二,0
645,四百九十八; 九百二,1
646,三百四十八; 三百四十七,0
647,二百九十; 八百十四,1
648,五百七十六; 四百二十六,0
649,三十九; 五百三十一,1
650,四百三; 百二十六,0
651,八百三十; 百四十四,0
652,四百四十一; 二百四十八,0
653,六百六十六; 八百二十三,1
654,四百九; 四百九十二,1
655,九百七十七; 七百八十四,0
656,六百三十; 七十七,0
657,百四十四; 百四十七,1
658,二十八; 三,0
659,二百二十三; 九百九十三,1
660,五百六; 八百十一,1
661,四百三十四; 四百九十二,1
662,八百三十一; 二百五十四,0
663,三百二十九; 六百五十五,1
664,四百七十七; 二百七十二,0
665,七百七十; 五百六十九,0
666,七; 二百一,1
667,二百二十五; 六百十二,1
668,四百七十六; 三百九十四,0
669,四百八十八; 三百九十四,0
670,四百三十一; 五百四十八,1
671,五百二十; 四百二十九,0
672,百三十二; 九百九,1
673,八百; 四百七十一,0
674,四百十二; 七百四十二,1
675,三百二十三; 九百五十九,1
676,五百七十四; 三百六十五,0
677,九百九十八; 七百四十八,0
678,三百四十二; 三百四十一,0
679,三百三十六; 五百二十一,1
680,七百六十四; 六十九,0
681,六百六十五; 八百二十八,1
682,八百六十; 五百五十一,0
683,二百二十二; 三百八十五,1
684,九百九; 五百六十四,0
685,四百二十六; 八百八十七,1
686,五十八; 三百七十七,1
687,八十九; 八,0
688,六百二十九; 九百五十七,1
689,六百八十四; 五百十二,0
690,八百三十四; 八百五十七,1
691,九百六十九; 七百十四,0
692,八百六十六; 七百六十七,0
693,四百三十; 五百五十四,1
694,四百五十; 九百六十四,1
695,五百二十五; 三百,0
696,四百八十; 四百九,0
697,九百六十; 百七十,0
698,三百三十; 七百七十二,1
699,七百四十六; 百二十三,0
700,六百五十八; 八百六十七,1
701,二百三十八; 八百七十六,1
702,五百八十四; 九百二十,1
703,二百九十五; 四百四十七,1
704,七百八十三; 五百三十七,0
705,百二十四; 二十,0
706,六百六; 七百六十四,1
707,八百三十四; 七百三十,0
708,二百六十; 百七十七,0
709,六百三十八; 六十二,0
710,九百八十三; 六百十一,0
711,九百七; 三百四十九,0
712,六百三; 百四十二,0
713,百十三; 六百二十一,1
714,五百三十九; 六百五十一,1
715,八百二十; 六百四十七,0
716,二百六; 百五十四,0
717,三百五十七; 九百八十一,1
718,二百七十三; 六百七,1
719,百三十五; 三百六十一,1
720,五百七十五; 九十五,0
721,六百二十四; 四百十一,0
722,六百二十五; 十三,0
723,六百十三; 六百三十六,1
724,五百七十八; 五百一,0
725,百六十三; 二百七十六,1
726,二百八; 百三十五,0
727,九十一; 五百六十八,1
728,二百七十七; 五百七十九,1
729,二百四十六; 六百八十二,1
730,五百二十二; 四百十,0
731,九十四; 九百四十二,1
732,七百六十六; 三百七十一,0
733,百九十; 九百十四,1
734,百九十五; 七百三,1
735,七百六十六; 七百七十,1
736,四百一; 四十一,0
737,百三十七; 二百五十三,1
738,二百八十六; 六十,0
739,三百二十六; 二百七十八,0
740,三百四十九; 六百九十四,1
741,六百; 七百七十二,1
742,九百六十六; 八百四十九,0
743,五百九十四; 四百五十九,0
744,六百三十二; 九十五,0
745,六百六十九; 七百七十,1
746,百七十四; 九百五十,1
747,五百四十一; 七百七十一,1
748,九百八十; 八百一,0
749,七百十六; 八百七,1
750,百五十; 五百三十九,1
751,三百六十; 八,0
752,四百八十一; 五百八十一,1
753,三百八十九; 百三十三,0
754,二百五十五; 八十七,0
755,八百九十八; 五百三十七,0
756,五百九十一; 六百二十一,1
757,九百七十二; 四百六十四,0
758,五百六十四; 七百四十七,1
759,六百六十; 七百四十,1
760,九百三十二; 五百六十六,0
761,七十九; 四百四十九,1
762,三百八十七; 八百六十一,1
763,七百十九; 二百五十七,0
764,四百三十七; 百二十七,0
765,九百三十四; 二百四十五,0
766,七百八十六; 六百十三,0
767,六百六十三; 七百六十一,1
768,六百三; 百,0
769,九百六十一; 三百,0
770,百三十七; 九百六十五,1
771,七百六十七; 六十二,0
772,五百三十三; 三十九,0
773,百八十七; 七百十六,1
774,九百五十二; 九百三十一,0
775,二百六十二; 五百四十六,1
776,百五十二; 八百四十七,1
777,四百二十二; 三百五,0
778,二百六十九; 九百四十五,1
779,二百三十三; 百七十七,0
780,八百七十; 五百九十一,0
781,九百六十二; 六百四十一,0
782,七十三; 二百二十一,1
783,五百; 三百六十九,0
784,八百九; 百二十二,0
785,五百十九; 四百九十八,0
786,四百四十; 九百六十九,1
787,六百; 六百六十七,1
788,七十四; 九百六十一,1
789,百八十八; 八百五十四,1
790,八百八十五; 七百四十七,0
791,九百十六; 七百二十一,0
792,二百六十三; 百四,0
793,七百二十三; 五百四十七,0
794,八百八十四; 九百七十九,1
795,百十二; 九十五,0
796,九十一; 六百四,1
797,五百四十; 二百九十二,0
798,六百十一; 六百四十四,1
799,六百四十五; 六百六十,1
800,九百九十二; 五百四十一,0
801,九百二十三; 百六十九,0
802,六百五十九; 七百五十九,1
803,五百三十五; 七百五十三,1
804,四十六; 二百二十九,1
805,九十六; 七百五十五,1
806,六百八; 四百六,0
807,百九十三; 八百六十五,1
808,九百八十七; 四百十九,0
809,五十六; 九百七十六,1
810,百六; 四百二十二,1
811,二百二十六; 七百二十九,1
812,五百九十七; 七百四十九,1
813,百三十; 二百五十六,1
814,六百五十; 二百五十五,0
815,九百二十八; 四百十七,0
816,三百五十七; 八百九十九,1
817,三百四十三; 五百三十六,1
818,七百八十九; 五十七,0
819,八百二十三; 二百九十八,0
820,四百五十一; 三百八十四,0
821,三百七十二; 四百二十,1
822,九百四十六; 百十七,0
823,九百六十七; 二百二十九,0
824,九百六十八; 百二十九,0
825,三百九十九; 八百七十九,1
826,三百九十七; 二百三十二,0
827,百七十一; 百五,0
828,四百五十四; 八十三,0
829,四百五十六; 六百七十九,1
830,五百六十九; 四百十,0
831,百七十六; 三百十九,1
832,三百五; 百九十三,0
833,六百三十九; 七百八十七,1
834,五百五; 八百四十三,1
835,三百四十三; 七百九十一,1
836,五百七十一; 四百五十六,0
837,二百九十三; 六十,0
838,五百九十三; 六百七,1
839,百九; 三百十七,1
840,八百十五; 九百五十,1
841,三百七; 二百二十四,0
842,二百一; 七百六十九,1
843,五百四十五; 九百九,1
844,四百八十七; 七百十六,1
845,百三十八; 二百七十三,1
846,八百八十一; 百五十六,0
847,二十五; 六百九十七,1
848,四百十四; 九百四十七,1
849,九百二十三; 五百七十一,0
850,六百八十三; 六百九十四,1
851,千; 百五十六,0
852,四百四十七; 八百五十一,1
853,五百五十六; 三百六十八,0
854,八百六; 九百六十八,1
855,三百五十二; 五百五十,1
856,九百十六; 百四十七,0
857,九百七十六; 九百五十九,0
858,五百三十; 七百七十三,1
859,八百十八; 二百二十二,0
860,六百六十九; 八百五,1
861,百九十六; 三百八十,1
862,九百十三; 五百十八,0
863,六百十六; 百一,0
864,二百七; 九百八十五,1
865,三百八十六; 二百九十九,0
866,百三十九; 二百二十四,1
867,三百四; 四百六十八,1
868,百五十一; 四百七十九,1
869,二百八十五; 三百九十五,1
870,五百十三; 四百五十二,0
871,九百八十; 四百一,0
872,三百九十四; 三十四,0
873,三百七十三; 五百五,1
874,七百九十二; 百六十七,0
875,四百二十七; 二百二十四,0
876,三百六; 四百九十六,1
877,五百五十九; 七百五十三,1
878,九百七十七; 九百五十九,0
879,六百三十一; 六百八十四,1
880,四百八十; 七百四十一,1
881,三百六十七; 八百一,1
882,三百九十六; 八百八十九,1
883,六百九十四; 五百十二,0
884,四百五十五; 六百五十四,1
885,四百八; 三十一,0
886,百五十六; 三百四十四,1
887,九百四; 八百五十,0
888,七百九十八; 二百八十二,0
889,九百四十二; 三,0
890,百七十; 六百四,1
891,三百四十六; 七十二,0
892,八百四十二; 百,0
893,六百九十四; 二百四十四,0
894,九百五十六; 八百四十九,0
895,四百二十七; 二百六十九,0
