,sents,labels
0,syvhundrede og fire; trehundrede og fem,0
46,ottehundrede og enogfyrre; ottehundrede og femoghalvfjerds,1
47,ottehundrede og nitten; nihundrede og syvogfyrre,1
48,ottehundrede og firs; femhundrede og fireoghalvfems,0
49,niogfirs; ethundrede og halvtreds,1
50,tohundrede og otte; femhundrede og toogtreds,1
51,syvhundrede og seksoghalvfjerds; tohundrede og nioghalvfems,0
52,ottehundrede og otteogfyrre; femhundrede og otteoghalvtreds,0
53,firehundrede og treoghalvfems; firehundrede og sytten,0
54,ethundrede og seks; fireoghalvtreds,0
55,treds; tohundrede og seksoghalvfjerds,1
56,ethundrede og femogfirs; syvhundrede og tolv,1
57,femhundrede og fireogtreds; firehundrede og sytten,0
58,firehundrede og seksogfyrre; atten,0
59,sekshundrede og syvoghalvtreds; sekshundrede og seksoghalvfjerds,1
60,firehundrede og halvfjerds; firehundrede og otteogtreds,0
61,firehundrede og enoghalvfems; trehundrede og tretten,0
62,femhundrede og niogtreds; trehundrede,0
63,ethundrede og toogfirs; ottehundrede og femogfyrre,1
64,femhundrede og otteoghalvfjerds; sekshundrede og syvoghalvfems,1
65,trehundrede og seksten; trehundrede og femoghalvtreds,1
66,trehundrede og enogtreds; sekshundrede og treoghalvtreds,1
67,ethundrede og enogtreds; sekshundrede og treoghalvfems,1
68,treogtyve; sekshundrede og otte,1
69,atten; nihundrede og femogtyve,1
70,femoghalvfjerds; ottehundrede og fireogfirs,1
71,nihundrede og treogtyve; ottehundrede og halvfems,0
72,ethundrede og nitten; treoghalvfjerds,0
73,nihundrede og syvoghalvfems; ottehundrede og otteoghalvtreds,0
74,sekshundrede og fireoghalvfems; femhundrede og fjorten,0
75,nihundrede og otteoghalvfjerds; ethundrede og syv,0
76,nihundrede og halvfems; treogtreds,0
77,femhundrede og sytten; firehundrede og tooghalvfjerds,0
78,fem; femhundrede og nioghalvtreds,1
79,syvhundrede og et; nihundrede og treoghalvfems,1
80,ottehundrede og enogtredive; firehundrede og seksogfyrre,0
81,ottehundrede og fireoghalvfjerds; nihundrede og toogfyrre,1
82,tohundrede og femoghalvtreds; sekshundrede og seksogtredive,1
83,femhundrede og seksten; sekshundrede og syvoghalvtreds,1
84,trehundrede og femoghalvfems; femhundrede og otteoghalvfjerds,1
85,tohundrede og et; ottehundrede og atten,1
86,sekshundrede og halvfjerds; ethundrede og tretten,0
87,nihundrede og nioghalvfems; trehundrede og otteoghalvtreds,0
88,femhundrede og nitten; sekshundrede og treogtreds,1
89,sekshundrede og fireoghalvtreds; ethundrede og femogfirs,0
90,syvhundrede og toogfirs; sekshundrede og fyrre,0
91,syvhundrede og niogfyrre; sekshundrede og treogfyrre,0
92,nihundrede og enogfyrre; ethundrede og treoghalvfems,0
93,sekshundrede og tredive; trehundrede og fireogtyve,0
94,ottehundrede og seksoghalvfems; trehundrede og nioghalvfems,0
95,ottehundrede og femoghalvfems; trehundrede og otteogtreds,0
96,seksoghalvtreds; tohundrede og tooghalvfems,1
97,sekshundrede og fireoghalvfjerds; ottehundrede og otteogtreds,1
98,ottehundrede og seks; sekshundrede og tyve,0
99,trehundrede og syv; trehundrede og elleve,1
100,firehundrede og seksogfirs; trehundrede og syvogtredive,0
101,ottehundrede og niogfirs; enogfirs,0
102,firehundrede og femogfirs; nihundrede og syvoghalvfjerds,1
103,femhundrede og sytten; trehundrede og fireoghalvtreds,0
104,ottehundrede og fem; syvhundrede og femogtredive,0
105,firehundrede og otteogfirs; femhundrede og nioghalvfjerds,1
106,tolv; syvhundrede og seksogfirs,1
107,nihundrede og enogfyrre; tohundrede og seksten,0
108,sekshundrede og femogfirs; syvhundrede og nioghalvtreds,1
109,tohundrede og sytten; syvogtredive,0
110,to; syvhundrede og treoghalvfems,1
111,tohundrede og toogfyrre; ethundrede og enogfirs,0
112,ottehundrede og tolv; ottehundrede og fireogfirs,1
113,trehundrede og femogtredive; sekshundrede og enoghalvtreds,1
114,femhundrede og niogtyve; trehundrede og toogfirs,0
115,ethundrede og elleve; nihundrede og niogtredive,1
116,sekshundrede og tooghalvtreds; femhundrede og seksogtredive,0
117,tohundrede og femoghalvfjerds; trehundrede og treogfyrre,1
118,syvhundrede og seksogtyve; ethundrede og niogtreds,0
119,trehundrede og treoghalvfjerds; ethundrede og syvoghalvfjerds,0
120,tohundrede og otteogtreds; ethundrede og atten,0
121,nihundrede og treoghalvfems; ottehundrede og seksogtyve,0
122,nihundrede og enoghalvfjerds; firehundrede og otteoghalvfjerds,0
123,tohundrede og femogtreds; firs,0
124,sekshundrede og otteogfyrre; trehundrede og enogfyrre,0
125,firehundrede og ti; sekshundrede og seksoghalvfems,1
126,sekshundrede og enoghalvfems; sekshundrede og toogtyve,0
127,sekshundrede og treogfyrre; ottehundrede og tyve,1
128,syvhundrede og fire; femhundrede og nitten,0
129,trehundrede og toogtredive; tohundrede og fireogtreds,0
130,femhundrede og syvogfyrre; firehundrede og tooghalvfjerds,0
131,ottehundrede og niogfirs; ottehundrede og enoghalvfems,1
132,firehundrede og femoghalvfjerds; firehundrede og enogtredive,0
133,syvhundrede og syvogtredive; sekshundrede og niogfyrre,0
134,ethundrede og toogtredive; ottehundrede og femogtyve,1
135,femhundrede og femogfirs; firehundrede og treoghalvtreds,0
136,tohundrede og niogfirs; femhundrede og femogfyrre,1
137,ottehundrede og halvtreds; tohundrede og tolv,0
138,firehundrede og syv; tohundrede og femogtredive,0
139,syvhundrede og seksogtreds; trehundrede,0
140,firehundrede og femoghalvfjerds; ethundrede og halvfjerds,0
141,ottehundrede og treds; nihundrede og enogfyrre,1
142,syvhundrede og fjorten; syvhundrede og otteogtreds,1
143,halvfems; sekshundrede og seksoghalvtreds,1
144,trehundrede og femoghalvfjerds; sekshundrede og seksten,1
145,syvhundrede og et; nihundrede og syvogtreds,1
146,fjorten; syvhundrede og seksogtyve,1
147,nihundrede og halvfjerds; nihundrede og seksogtyve,0
148,ottehundrede og seksogtreds; seksogtyve,0
149,femhundrede; nihundrede og femogfirs,1
150,nihundrede og syvogtyve; firehundrede og niogfirs,0
151,ethundrede og otteogfyrre; femogtredive,0
152,trehundrede og femoghalvtreds; syvhundrede og syvogtredive,1
153,femhundrede og fem; syvhundrede og nioghalvtreds,1
154,to; ottehundrede og niogfirs,1
155,firehundrede og enoghalvfjerds; nihundrede og enogtyve,1
156,firehundrede og femoghalvfems; trehundrede og femogtredive,0
157,trehundrede og to; trehundrede og halvtreds,1
158,syvogtyve; trehundrede og enogtyve,1
159,femhundrede og seks; sekshundrede og atten,1
160,trehundrede og syvogfirs; femhundrede og niogtredive,1
161,tohundrede og toogtredive; femhundrede og tyve,1
162,ottehundrede og fireogfirs; femhundrede og nioghalvtreds,0
163,ethundrede og fyrre; syvhundrede og femoghalvfjerds,1
164,ottehundrede og firs; sekshundrede og femogtyve,0
165,ethundrede og femten; sekshundrede og niogtredive,1
166,tohundrede og otteogfyrre; sekshundrede og nioghalvtreds,1
167,trehundrede og enoghalvfjerds; sekshundrede og elleve,1
168,firehundrede og halvfjerds; ethundrede,0
169,firehundrede og niogtreds; enogtredive,0
170,ottehundrede og et; firehundrede og treogtreds,0
171,tohundrede og toogtreds; femhundrede og otteogtredive,1
172,sekshundrede og toogfyrre; femhundrede og otteogfirs,0
173,fireoghalvfjerds; firehundrede og seks,1
174,syvhundrede og tyve; firehundrede og seksogtreds,0
175,treds; firehundrede og tretten,1
176,ethundrede og treogtredive; femhundrede og tredive,1
177,femhundrede og treogtredive; sekshundrede og halvtreds,1
178,trehundrede og treoghalvtreds; enogtredive,0
179,femhundrede og femogtreds; syvhundrede og toogfyrre,1
180,tohundrede og firs; syvhundrede og tolv,1
181,syvhundrede og otteoghalvfems; nihundrede og fireoghalvfjerds,1
182,firehundrede og syvogfyrre; femhundrede og syvogtyve,1
183,firehundrede og otteogtreds; firehundrede og treogtyve,0
184,syvhundrede og tooghalvtreds; sekshundrede og enogtyve,0
185,sekshundrede og fireogtredive; ettusind,1
186,ethundrede og toogtredive; femhundrede og seksten,1
187,syvhundrede og sytten; sekshundrede og niogtredive,0
188,trehundrede og toogtreds; ethundrede og syvoghalvfjerds,0
189,sekshundrede og syvogtredive; syvhundrede og ti,1
190,syvhundrede og halvtreds; ottehundrede og et,1
191,ethundrede og otte; tohundrede og seks,1
192,firehundrede; halvfjerds,0
193,trehundrede og femogtreds; ni,0
194,trehundrede og niogfyrre; femhundrede og syvogfyrre,1
195,ottehundrede og femoghalvfems; femhundrede og syvogtreds,0
196,sekshundrede og otteogfirs; sekshundrede og niogtyve,0
197,trehundrede og enogfyrre; syvhundrede og treogfyrre,1
198,firehundrede og treoghalvtreds; nihundrede og fireoghalvtreds,1
199,syvhundrede og toogfirs; trehundrede og otteogtreds,0
200,nihundrede og syvogfirs; sekshundrede og fyrre,0
201,syvhundrede og fireogtyve; syvhundrede og nioghalvfjerds,1
202,sekshundrede og enogtredive; firehundrede og tre,0
203,nihundrede og syvogtreds; tohundrede og enogtyve,0
204,tohundrede og fireogtredive; firehundrede og otteogfirs,1
205,ethundrede og enogfirs; nihundrede og elleve,1
206,trehundrede og sytten; enoghalvtreds,0
207,firehundrede og fireogfirs; firehundrede og syvogfirs,1
208,niogtreds; syvhundrede og halvtreds,1
209,firehundrede og syvoghalvfems; syvhundrede og toogtredive,1
210,femhundrede og enoghalvfems; trehundrede og fireoghalvfems,0
211,sekshundrede og treogfirs; ottehundrede og tolv,1
212,syvhundrede og otteogfirs; ottehundrede og tooghalvfems,1
213,trehundrede og toogtyve; femhundrede og toogfyrre,1
214,nihundrede og seksten; tohundrede og niogtyve,0
215,syvhundrede og treogfirs; firehundrede og treoghalvtreds,0
216,syvoghalvfjerds; trehundrede og niogfirs,1
217,seksoghalvtreds; femhundrede og femogtredive,1
218,femhundrede og otteogfirs; ottehundrede og treogfyrre,1
219,femogfyrre; treogtyve,0
220,femhundrede og treogfyrre; femhundrede og fjorten,0
221,treoghalvtreds; firehundrede og seksogtredive,1
222,ottehundrede og halvfjerds; trehundrede og halvfems,0
223,ottehundrede og treogtyve; firehundrede og niogfirs,0
224,firehundrede og elleve; otteogtyve,0
225,syvhundrede og seksten; trehundrede og seksogtredive,0
226,sekshundrede og elleve; tohundrede og atten,0
227,trehundrede og toogtreds; sekshundrede og firs,1
228,firehundrede og halvtreds; tohundrede og syvogtreds,0
229,ottehundrede og fireoghalvfems; nioghalvfems,0
230,tohundrede og enoghalvfjerds; femhundrede og atten,1
231,sekshundrede og tooghalvfjerds; sekshundrede og sytten,0
232,ethundrede og seksoghalvfjerds; femhundrede og atten,1
233,trehundrede og femogfyrre; nihundrede og toogtreds,1
234,nihundrede og toogfyrre; seksoghalvtreds,0
235,firehundrede og halvtreds; ethundrede og seksogtredive,0
236,otteogtreds; nihundrede og treogtredive,1
237,sekshundrede og halvfems; tohundrede og syvogtyve,0
238,tohundrede og fireogtredive; trehundrede og sytten,1
239,trehundrede og syvoghalvfjerds; trehundrede og nitten,0
240,femhundrede og treogtredive; trehundrede og et,0
241,ethundrede og ni; syvhundrede,1
242,ethundrede og seks; trehundrede og enoghalvfjerds,1
243,sekshundrede og treoghalvfems; syvhundrede og to,1
244,nihundrede og seksogtyve; ethundrede og femoghalvtreds,0
245,treogfyrre; nihundrede og fireoghalvtreds,1
246,syvhundrede og femogfyrre; nihundrede og femoghalvfjerds,1
247,syvhundrede og treoghalvfjerds; syvhundrede og niogtreds,0
248,fire; tohundrede og seksoghalvfjerds,1
249,ottehundrede og otteogtyve; nihundrede og femten,1
250,firehundrede og sytten; ethundrede og treogtreds,0
251,ottehundrede og fem; femhundrede og ti,0
252,nihundrede og femogtyve; syvhundrede og fire,0
253,firehundrede og otteogtredive; ettusind,1
254,ethundrede og treogtredive; femhundrede og fireogfyrre,1
255,trehundrede og syvogtyve; firehundrede og fem,1
256,sekshundrede og femogfirs; firehundrede og treoghalvfjerds,0
257,sekshundrede og fyrre; ethundrede og niogtyve,0
258,femhundrede og femoghalvfems; nihundrede og seks,1
259,treds; enoghalvtreds,0
260,ottehundrede og tolv; syvhundrede og femogtyve,0
261,ethundrede og seksogfyrre; ottehundrede og femoghalvtreds,1
262,ottehundrede og enoghalvtreds; ethundrede og seksten,0
263,enoghalvtreds; halvtreds,0
264,ottehundrede og treogfirs; nihundrede og otteogtredive,1
265,sekshundrede og fjorten; sekshundrede og otte,0
266,syvhundrede og tooghalvfems; syvhundrede og toogfirs,0
267,firehundrede og treogtredive; syvhundrede og fem,1
268,ottehundrede og tre; nihundrede og seks,1
269,tohundrede og seksoghalvtreds; syvhundrede og atten,1
270,tohundrede og enoghalvfems; tohundrede og niogfirs,0
271,ottehundrede og treoghalvtreds; ottehundrede og femogfirs,1
272,niogfirs; ottehundrede og treogtreds,1
273,sekshundrede og fireoghalvfjerds; trehundrede og ti,0
274,sekshundrede og otteogtredive; ethundrede og tolv,0
275,nihundrede og otteogtyve; ethundrede og otteogtreds,0
276,trehundrede og femogfirs; nihundrede og nioghalvfjerds,1
277,syvhundrede og femoghalvtreds; nihundrede og fireogfirs,1
278,tohundrede og halvfjerds; femogtreds,0
279,ottehundrede og enogtyve; sekshundrede og seksogfyrre,0
280,syvhundrede og seksogfyrre; syvhundrede og femoghalvtreds,1
281,syvhundrede og otteogtyve; syvoghalvfjerds,0
282,firehundrede og syvogtyve; nihundrede og nioghalvfjerds,1
283,tohundrede og syvogfyrre; femhundrede og syvoghalvtreds,1
284,ottehundrede og seksoghalvfems; ottehundrede og femoghalvtreds,0
285,niogtyve; ottehundrede og tooghalvfems,1
286,trehundrede og otteogfyrre; syvogfyrre,0
287,firehundrede og tretten; sekshundrede og treogfyrre,1
288,sekshundrede og fireoghalvtreds; ethundrede og treds,0
289,ethundrede og nioghalvfems; ottehundrede og treoghalvfjerds,1
290,nihundrede og fyrre; firehundrede og femogtreds,0
291,nihundrede og nitten; ottehundrede og fireoghalvfjerds,0
292,syvhundrede og otteoghalvtreds; femhundrede og sytten,0
293,nihundrede og otteogtyve; ottehundrede og enogtredive,0
294,ottehundrede og treogtreds; firehundrede og femoghalvfems,0
295,firehundrede og femogfirs; tohundrede og enogtredive,0
296,nihundrede og otteogfyrre; otteogfirs,0
297,ottehundrede og seks; tohundrede og femoghalvfjerds,0
298,firehundrede og enoghalvfjerds; trehundrede og femoghalvfems,0
299,firehundrede og syvogfirs; firehundrede og otteoghalvfems,1
300,sekshundrede og enogtredive; syvhundrede og halvtreds,1
301,firehundrede og femogtredive; enogtreds,0
302,syvhundrede og ti; syvhundrede og sytten,1
303,ottehundrede og elleve; tohundrede og sytten,0
304,firehundrede og halvtreds; sekshundrede og enoghalvfjerds,1
305,ethundrede og fireoghalvtreds; to,0
306,syvhundrede og otteogfyrre; nihundrede og otteogfirs,1
307,firehundrede og elleve; sekshundrede og elleve,1
308,firehundrede og enoghalvfjerds; sekshundrede og enogtyve,1
309,trehundrede og otteoghalvfjerds; firehundrede og syvogtredive,1
310,trehundrede og fireogfyrre; trehundrede og syvoghalvfjerds,1
311,tohundrede og femoghalvtreds; femhundrede og toogtyve,1
312,trehundrede og ni; syvhundrede og treds,1
313,firehundrede og femoghalvfems; femhundrede og otteogtyve,1
314,femhundrede og otteogtyve; nihundrede og niogtredive,1
315,syvhundrede og femogfyrre; nihundrede og fireogtredive,1
316,ottehundrede og syvogfirs; firehundrede og treoghalvfjerds,0
317,trehundrede og seksoghalvtreds; trehundrede og otteogtyve,0
318,nihundrede og otteoghalvfjerds; nihundrede og enogfirs,1
319,syvhundrede og toogtreds; syvhundrede og tredive,0
320,ottehundrede og syvogfyrre; tohundrede og treoghalvfems,0
321,ottehundrede og ti; ethundrede og fyrre,0
322,femhundrede og otte; trehundrede og enogfirs,0
323,femhundrede og femoghalvfjerds; firehundrede og treogfirs,0
324,ethundrede og fireoghalvtreds; treoghalvfems,0
325,femhundrede og femogfyrre; ottehundrede og seksoghalvtreds,1
326,trehundrede og femogfirs; treoghalvfjerds,0
327,sekshundrede og niogfyrre; trehundrede og toogtredive,0
328,ottehundrede og halvfjerds; trehundrede og toogtreds,0
329,atten; tohundrede og otteogfyrre,1
330,ottehundrede og halvfems; nihundrede og otteoghalvtreds,1
331,ethundrede og tretten; nihundrede og otteoghalvfjerds,1
332,fireogtredive; ethundrede og treds,1
333,nihundrede og femten; trehundrede og fjorten,0
334,syvhundrede og treoghalvfems; tohundrede og femogtyve,0
335,otteoghalvfems; femhundrede og femogtreds,1
336,sekshundrede og seksoghalvfjerds; tohundrede og niogtyve,0
337,nihundrede og toogtredive; ethundrede og treoghalvtreds,0
338,ethundrede og treds; nihundrede,1
339,ottehundrede og nitten; firehundrede og fireogtredive,0
340,trehundrede og fireogtyve; ottehundrede og otteogfyrre,1
341,femhundrede og treoghalvfems; trehundrede og otteoghalvfjerds,0
342,ottehundrede og femogfyrre; femhundrede og sytten,0
343,nihundrede og fire; nihundrede og femten,1
344,ottehundrede og ti; ethundrede og otteogtreds,0
345,firehundrede og nioghalvfjerds; ethundrede og toogtredive,0
346,nitten; sekshundrede og syvoghalvtreds,1
347,femhundrede og tooghalvfjerds; tohundrede og halvtreds,0
348,trehundrede og toogtreds; nihundrede og femogtredive,1
349,sekshundrede og fireoghalvtreds; firehundrede og treoghalvfjerds,0
350,firehundrede og otteoghalvtreds; syvhundrede og tretten,1
351,femhundrede og halvfems; ottehundrede og fireoghalvfems,1
352,sekshundrede og femogfirs; trehundrede og otteoghalvtreds,0
353,sekshundrede og otteoghalvtreds; trehundrede og ti,0
354,trehundrede og enogtyve; treogtreds,0
355,treoghalvfjerds; ethundrede og femten,1
356,ethundrede og toogtyve; niogfirs,0
357,trehundrede og seks; trehundrede og fireoghalvfems,1
358,tohundrede og treoghalvfems; trehundrede og otteoghalvfjerds,1
359,ethundrede og tretten; ethundrede og otteoghalvtreds,1
360,tohundrede og treogfyrre; femhundrede og otteoghalvfems,1
361,tohundrede og femoghalvfjerds; sekshundrede og syvoghalvfjerds,1
362,sekshundrede og syvoghalvfjerds; firehundrede og atten,0
363,syvhundrede og tre; ottehundrede og femogtyve,1
364,ethundrede og treoghalvtreds; femhundrede og enogtyve,1
365,nihundrede og treoghalvfems; syvhundrede og tooghalvtreds,0
366,sekshundrede og fireogfyrre; nihundrede og treogtreds,1
367,tohundrede og fire; ottehundrede og seksogtredive,1
368,tooghalvtreds; syvhundrede og tyve,1
369,enogfyrre; ethundrede og femogtredive,1
370,enogtredive; trehundrede og femogtredive,1
371,ottehundrede og niogfirs; ottehundrede og femoghalvfems,1
372,ottehundrede og niogtyve; trehundrede og enogtyve,0
373,sekshundrede og tolv; nihundrede og fireoghalvtreds,1
374,tohundrede og femogfirs; trehundrede og enogtreds,1
375,syvhundrede og treds; firehundrede og seksogtredive,0
376,ottehundrede og nioghalvfems; firehundrede og halvfjerds,0
377,femhundrede og tyve; ottehundrede og sytten,1
378,femhundrede og toogtredive; nihundrede og et,1
379,fjorten; trehundrede og ti,1
380,sekshundrede og otteogtreds; sekshundrede og ti,0
381,nihundrede og seksten; ethundrede og nioghalvfems,0
382,nihundrede og seksogfyrre; syvhundrede og syvogtredive,0
383,ethundrede og otteoghalvfjerds; tohundrede og niogfyrre,1
384,syvhundrede og femoghalvtreds; ethundrede og fem,0
385,ethundrede og fireogtreds; trehundrede og ni,1
386,syvhundrede og tooghalvtreds; tredive,0
387,ethundrede og syvogtyve; tohundrede og et,1
388,tohundrede og fireoghalvtreds; nihundrede og fem,1
389,ethundrede og femogfirs; femhundrede og syvogfyrre,1
390,nihundrede og fireogtredive; firehundrede og fyrre,0
391,ottehundrede og enogtyve; ethundrede og tooghalvfjerds,0
392,syvhundrede og femoghalvfems; niogtreds,0
393,firehundrede og syvogfyrre; firehundrede og treogfirs,1
394,toogtreds; trehundrede og niogtyve,1
395,ottehundrede og halvfjerds; syvhundrede og tooghalvfems,0
396,ethundrede og seksogtyve; otteoghalvfjerds,0
397,firehundrede og femogtreds; nihundrede,1
398,femhundrede og et; femhundrede og otteogtreds,1
399,syvhundrede og toogtreds; ottehundrede og syvoghalvfems,1
400,syvhundrede og seksogfyrre; femhundrede og treogfirs,0
401,elleve; nihundrede og otteoghalvfjerds,1
402,nihundrede og tolv; ottehundrede og enoghalvfems,0
403,syvhundrede og ti; femhundrede og toogtyve,0
404,tohundrede og fyrre; ottehundrede og tre,1
405,femhundrede og fjorten; trehundrede og firs,0
406,firehundrede og fireogtyve; sekshundrede og sytten,1
407,nihundrede og seksten; nihundrede og tredive,1
408,firehundrede og toogtyve; syvhundrede og fireogtreds,1
409,femhundrede og fireoghalvtreds; trehundrede og niogfirs,0
410,nihundrede og ti; syvhundrede og femogfirs,0
411,nihundrede og firs; sekshundrede og ni,0
412,ethundrede og ti; nihundrede og atten,1
413,fireoghalvfems; tohundrede og femogtredive,1
414,ottehundrede og syvoghalvfems; nihundrede og nioghalvfjerds,1
415,tohundrede og fireogtreds; sekshundrede og femoghalvtreds,1
416,sekshundrede og syvoghalvfems; sekshundrede og niogtreds,0
417,ottehundrede og syvoghalvfems; sekshundrede og femoghalvtreds,0
418,syvhundrede og tretten; sekshundrede og syvoghalvtreds,0
419,tohundrede og enogfyrre; syvhundrede og enogtreds,1
420,nihundrede og niogtreds; tohundrede og atten,0
421,otteoghalvfems; sekshundrede og toogtredive,1
422,ottehundrede og fjorten; syvhundrede og fyrre,0
423,tohundrede og firs; trehundrede og fireogfirs,1
424,fire; sekshundrede og tolv,1
425,ottehundrede og fireoghalvfems; sekshundrede og syvogfyrre,0
426,tohundrede og niogtreds; sekshundrede og niogtreds,1
427,ottehundrede og treogtreds; sekshundrede og elleve,0
428,firehundrede og tre; trehundrede og treoghalvfems,0
429,ethundrede og fireogtyve; tohundrede og syvoghalvfems,1
430,syvogfirs; nihundrede og ni,1
431,sekshundrede og treoghalvfems; nihundrede og enogtyve,1
432,ottehundrede og syvogfirs; ethundrede og fireogtredive,0
433,tohundrede og enoghalvfjerds; tohundrede og treoghalvfjerds,1
434,nihundrede og fireoghalvtreds; tohundrede og tooghalvfems,0
435,syvhundrede og halvtreds; firehundrede og firs,0
436,ethundrede og femoghalvtreds; nihundrede og treogtreds,1
437,tohundrede og et; ethundrede og femogfirs,0
438,nihundrede og enogfyrre; firehundrede og fireoghalvfjerds,0
439,sekshundrede og otteogfirs; ethundrede og treogfirs,0
440,sekshundrede og niogfyrre; fireogtredive,0
441,ethundrede og enoghalvfems; toogtredive,0
442,sekshundrede og femogtyve; tohundrede og otte,0
443,ethundrede og syvoghalvtreds; ottehundrede og nioghalvfjerds,1
444,syvhundrede og syvoghalvfems; nihundrede og otte,1
445,ethundrede og tre; fireogtredive,0
446,syvhundrede og otteogtyve; ethundrede og et,0
447,syvhundrede og tredive; firehundrede og femoghalvfems,0
448,trehundrede og syvogfirs; sekshundrede og seksoghalvfems,1
449,femhundrede og treoghalvtreds; firehundrede og toogtredive,0
450,sekshundrede og syvoghalvfems; tohundrede og syv,0
451,firehundrede og atten; trehundrede og tooghalvfems,0
452,trehundrede og enoghalvfjerds; syvhundrede og seksten,1
453,firehundrede og toogfirs; femhundrede og seksten,1
454,femhundrede og fire; femhundrede og femogtreds,1
455,trehundrede og treogtredive; syvoghalvfems,0
456,ottehundrede og syvoghalvfems; treogtredive,0
457,tohundrede og ni; femhundrede og firs,1
458,nihundrede og elleve; tohundrede og treogfyrre,0
459,nihundrede og halvtreds; ottehundrede og firs,0
460,ottehundrede og syvogtyve; ethundrede og fireoghalvfems,0
461,tohundrede og fireogfyrre; syvhundrede og tre,1
462,tohundrede og niogfirs; trehundrede og tretten,1
463,sekshundrede og halvfjerds; nihundrede og nioghalvtreds,1
464,sekshundrede og tooghalvfjerds; ottehundrede og toogtredive,1
465,sekshundrede og enogtyve; femhundrede og otteogfyrre,0
466,ottehundrede og treoghalvtreds; trehundrede og tre,0
467,syvogfyrre; femoghalvfems,1
468,syvhundrede og otteogfyrre; trehundrede og femoghalvfems,0
469,sekshundrede og fireogtreds; sekshundrede og fire,0
470,nihundrede og fjorten; nihundrede og fireoghalvfems,1
471,sekshundrede og niogtreds; firehundrede og enoghalvfjerds,0
472,ethundrede og tooghalvtreds; sekshundrede og femoghalvfjerds,1
473,ottehundrede og toogtreds; syvhundrede og treoghalvtreds,0
474,femhundrede og tre; ethundrede og fireogfirs,0
475,ethundrede og toogtredive; syvhundrede og seksogfyrre,1
476,femoghalvfjerds; ottehundrede og halvfjerds,1
477,syvhundrede og femogfyrre; sekshundrede og femten,0
478,femhundrede og nitten; ethundrede og syvoghalvtreds,0
479,ethundrede og enoghalvfjerds; syvhundrede og toogtreds,1
480,ethundrede og tooghalvfjerds; tolv,0
481,sekshundrede og fireogfirs; ethundrede og syvogtredive,0
482,nioghalvfjerds; sekshundrede og seks,1
483,ethundrede og toogtreds; femhundrede og enoghalvtreds,1
484,ottehundrede og toogtyve; trehundrede og halvtreds,0
485,ottehundrede og syvoghalvtreds; ethundrede og halvtreds,0
486,nihundrede og seksogfyrre; tohundrede og nioghalvfems,0
487,sekshundrede og tooghalvtreds; sekshundrede og tyve,0
488,femhundrede og fireoghalvfems; nihundrede og tooghalvfems,1
489,firehundrede og niogtreds; trehundrede og fireogfirs,0
