,sents,labels
257,syvhundrede seksoghalvfems,1
258,sekshundrede og toogtyve,0
259,firehundrede og syvoghalvfjerds,0
260,tohundrede og femten,0
261,ethundrede og fem,0
262,to sekshundrede og sytten,1
263,tre trehundrede og atten,1
264,trehundrede og tooghalvfems,0
265,sekshundrede og toogfirs,0
266,syv ottehundrede og fem,1
267,fem femten,1
268,femogtyve fireogfirs,1
269,sekshundrede og femogtreds,0
270,ottehundrede og halvtreds,0
271,tohundrede og niogtreds,0
272,nihundrede og seksten atten,1
273,syvhundrede og syvogtredive,0
274,tohundrede og syvoghalvfjerds,0
275,sekshundrede og niogtredive,0
276,sekshundrede og seksogfyrre,0
277,seksten tohundrede og tyve,1
278,syvhundrede og tre,0
279,fyrre femhundrede og tyve,1
280,firehundrede og tretten ni,1
281,sekshundrede og otteogtreds,0
282,fjorten femogtreds,1
283,femhundrede og enogtyve,0
284,tyve syvhundrede og fyrre,1
285,seks nihundrede og toogtreds,1
286,nitten trehundrede og elleve,1
287,syvhundrede og nitten,0
288,halvtreds femhundrede,1
289,ottehundrede og syvogfyrre,0
290,tohundrede og femogtyve,0
291,ottehundrede og syvoghalvfems,0
292,nihundrede og fem,0
293,tohundrede og niogtredive,0
294,trehundrede og nioghalvfems,0
295,enoghalvfjerds enoghalvtreds,1
296,sekshundrede og femten,0
297,ottehundrede og otteoghalvfems,0
298,syvhundrede og otteogtreds,0
299,femhundrede og to niogtyve,1
300,fjorten ethundrede og ni,1
301,ni ettusind,1
302,halvfems nihundrede og to,1
303,femhundrede og fem nitten,1
304,femhundrede og seksogtyve,0
305,nihundrede og fireogfyrre,0
306,atten seksoghalvfems,1
307,syvhundrede og otteogfirs,0
308,nioghalvfjerds seksogtredive,1
309,otte tohundrede og ni,1
310,femhundrede og toogfirs otte,1
311,ethundrede og femogfyrre,0
312,tohundrede og enoghalvfjerds,0
313,fyrre trehundrede og otte,1
314,fireogtyve to,1
315,syv syvogfyrre,1
316,ti ethundrede og fireogtreds,1
317,syvhundrede og nioghalvfems,0
318,seksten sekshundrede og tre,1
319,syvoghalvtreds femogtyve,1
320,ti sekshundrede og nitten,1
321,firehundrede og toogfirs,0
322,fjorten femhundrede og ni,1
323,syvogfyrre seksogtreds,1
324,syvoghalvfjerds toogfyrre,1
325,ethundrede og elleve,0
326,trehundrede og otteogtredive,0
327,tooghalvtreds,0
328,niogfirs ethundrede og fyrre,1
329,elleve otteogtreds,1
330,firehundrede og et to,1
331,firehundrede og otteoghalvtreds,0
332,syvogtyve halvfjerds,1
333,trehundrede og seksogtredive,0
334,trehundrede og ti,0
335,syvoghalvtreds tredive,1
336,femten nihundrede og atten,1
337,tolv trehundrede og seksten,1
338,ni ethundrede og femten,1
339,sekshundrede og seks,0
340,tohundrede og halvfems,0
341,tohundrede og seksogtyve,0
342,toogtyve nioghalvfems,1
343,to syvhundrede og tredive,1
344,ottehundrede og halvtreds,0
345,sekshundrede og otteogfirs,0
346,tohundrede og toogfyrre,0
347,tolv femhundrede og otte,1
348,ethundrede og femten,0
349,fire nihundrede,1
350,tohundrede og et tohundrede,1
351,trehundrede og syv fyrre,1
352,fire otteogtredive,1
353,tyve,0
354,ethundrede og niogtredive,0
355,sekshundrede og fireogfyrre,0
356,femhundrede og syv fyrre,1
357,firehundrede og fire,0
358,syvhundrede og femogfirs,0
359,firs firs,1
360,otteogtredive firs,1
361,syvhundrede og femogtredive,0
362,halvfems,0
363,tohundrede og seksogtyve,0
364,fyrre firs,1
365,ottehundrede og fem fire,1
366,ottehundrede og syvoghalvfems,0
367,sekshundrede og seksoghalvfjerds,0
368,sekshundrede og tretten otte,1
369,tohundrede og tre seks,1
370,tohundrede og firs,0
371,nioghalvfjerds ti,1
372,trehundrede og atten,0
373,ethundrede og treogtreds,0
374,femhundrede og toogtredive,0
375,femhundrede og niogtyve ti,1
376,syvogtredive fireogtredive,1
377,ethundrede og ti,0
378,fire nihundrede og toogfirs,1
379,tohundrede og treds firs,1
380,tooghalvfems ni,1
381,femhundrede og syvogtyve,0
382,niogfirs otteoghalvtreds,1
383,ethundrede og seksogtreds,0
384,tohundrede og tyve,0
385,enogtreds firehundrede og to,1
386,sekshundrede og niogfirs,0
387,to,0
388,tohundrede og seksten to,1
389,fem femhundrede og atten,1
390,nihundrede og seksogtredive,0
391,sekshundrede og tretten,0
392,femten seksogtredive,1
393,femogfirs fjorten,1
394,syvhundrede og otteogtreds,0
395,nihundrede tretten,1
396,nihundrede og fjorten,0
397,tohundrede og tyve,0
398,femhundrede og fireoghalvtreds,0
399,ni ethundrede og to,1
400,ethundrede og tyve,0
401,syvhundrede,0
402,tohundrede og treogtyve,0
403,ottehundrede og seksten,0
404,syvhundrede og seksoghalvfems,0
405,firehundrede og tre fem,1
406,nihundrede og femogfyrre,0
407,seksogfyrre tooghalvtreds,1
408,enoghalvfems syv,1
409,firs enogtyve,1
410,firehundrede og syv femten,1
411,femhundrede og tretten seks,1
412,sekshundrede og tooghalvfems,0
413,otteogtreds,0
414,ethundrede og fireogfyrre,0
415,ethundrede og otteogtyve,0
416,syvhundrede og enogtyve,0
417,trehundrede og tredive,0
418,trehundrede og niogfirs,0
419,niogtreds to,1
420,enogtreds tohundrede og tre,1
421,nihundrede syvogfyrre,1
422,enogfirs fireogfirs,1
423,sekshundrede og otteogtreds,0
424,ottehundrede og fireoghalvfjerds,0
425,firehundrede og tooghalvtreds,0
426,nihundrede og fem,0
427,seksten ethundrede og tre,1
428,sekshundrede og fyrre,0
429,tooghalvfems femoghalvfems,1
430,syvhundrede og fem femogtyve,1
431,tohundrede og enoghalvfjerds,0
432,nihundrede og femogtredive,0
433,firehundrede og treogtreds,0
434,tohundrede,0
435,femhundrede og otteoghalvtreds,0
436,ottehundrede og enogtreds,0
437,halvtreds fireogtreds,1
438,sekshundrede og ni tyve,1
439,ethundrede seksogtyve,1
440,trehundrede og otteogtreds,0
441,seksogtreds toogtredive,1
442,sekshundrede og seksoghalvfjerds,0
443,ethundrede og tolv,0
444,treogtyve nihundrede og tolv,1
445,trehundrede og tre niogfyrre,1
446,femhundrede og tyve atten,1
447,firs nihundrede og toogtreds,1
448,otteoghalvtreds,0
449,nitten trehundrede og ti,1
450,ethundrede og fireoghalvtreds,0
451,halvfems,0
452,treoghalvtreds,0
453,trehundrede og seksogtyve,0
454,syvhundrede og tretten treds,1
455,syvogfyrre nihundrede og ni,1
456,syvhundrede og treoghalvfjerds,0
457,nitten,0
458,tretten,0
459,femogfirs halvfjerds,1
460,nihundrede og halvfems,0
461,tre toogfirs,1
462,nihundrede og femogtyve ti,1
463,sytten femogfirs,1
464,nihundrede og firs et,1
465,tohundrede og otteogfyrre,0
466,syvogtreds trehundrede,1
467,syvhundrede og toogtyve,0
468,trehundrede fireogtredive,1
469,firehundrede og niogtyve,0
470,otteogtreds ottehundrede,1
471,femhundrede og niogtredive,0
472,femhundrede og firs ettusind,1
473,nihundrede og et femogtreds,1
474,ethundrede og enogtreds,0
475,syvhundrede og firs atten,1
476,nihundrede og femogtreds tre,1
477,trehundrede og femogtyve,0
478,trehundrede og nioghalvfjerds,0
479,ethundrede og seksogfirs to,1
480,ottehundrede og toogtredive,0
481,ethundrede og elleve,0
482,treoghalvfems femogtredive,1
483,trehundrede og syvogfyrre,0
484,fem trehundrede og femten,1
485,firehundrede og syvoghalvtreds,0
486,firs,0
487,firehundrede og niogtreds ti,1
488,nihundrede og syv,0
489,fireogtreds femogfirs,1
490,seksogtyve,0
491,ti trehundrede og syvogfirs,1
492,nihundrede og fireoghalvfjerds,0
493,femoghalvfems enogtredive,1
494,seksogtreds,0
495,firehundrede og tyve,0
496,ethundrede og seks,0
497,ti firehundrede og niogtreds,1
498,tohundrede femoghalvfjerds,1
499,syvoghalvtreds niogfyrre,1
500,femhundrede og halvfjerds et,1
501,ethundrede og to otteogtyve,1
502,otte tohundrede og syvogfirs,1
503,firehundrede og toogtyve,0
504,ethundrede og ti enogtyve,1
505,nihundrede og atten halvfems,1
506,sekshundrede,0
507,fireogtyve ethundrede og syv,1
508,femten otteoghalvfjerds,1
509,syvhundrede og niogtyve ni,1
510,trehundrede og toogfirs,0
511,toogtyve syvhundrede og otte,1
512,ni trehundrede og otte,1
513,trehundrede og toogfyrre,0
514,ethundrede og toogfirs,0
515,ottehundrede og firs fyrre,1
516,tohundrede og enoghalvfems,0
517,niogtyve,0
518,ottehundrede og treds,0
519,syvhundrede og otteogtreds,0
520,nihundrede og toogtreds,0
521,nihundrede og syvogfyrre,0
522,treogfirs,0
523,tohundrede og femten seks,1
524,ethundrede og niogtreds,0
525,femhundrede og to tretten,1
526,sekshundrede og treoghalvfems,0
527,ethundrede og seksoghalvtreds,0
528,otte ethundrede og fem,1
529,enogtyve fire,1
530,fireogtredive femoghalvtreds,1
531,atten trehundrede og sytten,1
532,trehundrede og enogtyve ti,1
533,firehundrede og syvogtredive,0
534,niogfyrre trehundrede og to,1
535,enogtreds tohundrede og et,1
536,treogtyve syvhundrede og syv,1
537,syvhundrede og otteogfyrre,0
538,sekshundrede og seksoghalvtreds,0
539,ethundrede og sytten elleve,1
540,toogfirs sekshundrede og tre,1
541,nihundrede fire,1
542,seks treogtredive,1
543,seks syvhundrede og fire,1
544,femogtyve fireogtreds,1
545,ni syvhundrede og syvogtreds,1
546,nioghalvtreds,0
547,otteogtreds seksoghalvfjerds,1
548,ethundrede og fire,0
549,seksogtreds toogtyve,1
550,niogtyve treoghalvtreds,1
551,ethundrede og toogfirs,0
552,fireogfirs seks,1
553,femhundrede og seksogtyve,0
554,tre seks,1
555,tohundrede og seksogtreds,0
556,elleve ethundrede og et,1
557,firs syvhundrede og et,1
558,nitten seksoghalvtreds,1
559,nihundrede og ti halvtreds,1
560,firehundrede og seksoghalvtreds,0
561,ethundrede og halvfjerds,0
562,tre,0
563,tohundrede og treoghalvtreds,0
564,ottehundrede og enogtyve,0
565,tohundrede og enogtyve,0
566,femogfirs trehundrede og syv,1
567,tyve ottehundrede og tyve,1
568,sekshundrede og treogfyrre,0
569,syvhundrede og tyve fire,1
570,femhundrede og tredive atten,1
571,syvhundrede og otteoghalvtreds,0
572,sekshundrede og fire tre,1
573,ottehundrede og syvoghalvfjerds,0
574,sekshundrede og sytten,0
575,ethundrede niogfyrre,1
576,firs syvhundrede og nitten,1
577,firehundrede og halvfems,0
578,tohundrede og otte nitten,1
579,treoghalvtreds niogtreds,1
580,otteogtyve tohundrede og et,1
581,ottehundrede og otteogfirs,0
582,toogfirs otteogtredive,1
583,ethundrede og seks seks,1
584,sytten tohundrede og firs,1
585,tohundrede og otte tre,1
586,tohundrede og syvoghalvtreds,0
587,treogtreds tooghalvfems,1
588,syvhundrede og tooghalvfems,0
589,tohundrede og syvogfyrre,0
590,ottehundrede og halvtreds,0
591,ethundrede og otte,0
592,nihundrede og ni seks,1
593,fem nihundrede og femogtyve,1
594,tohundrede og tredive seks,1
595,tohundrede og elleve treds,1
596,tohundrede og seksoghalvfems,0
597,ottehundrede og enogtredive,0
598,ottehundrede og tyve fire,1
599,sekshundrede og seksogfirs,0
600,nihundrede og treoghalvfjerds,0
601,trehundrede og seksogtredive,0
602,ethundrede og treds,0
603,toogfyrre tohundrede og tolv,1
604,ethundrede og syvoghalvfjerds,0
605,nihundrede og fireoghalvfjerds,0
606,femhundrede og otteogfirs,0
607,ni tohundrede og fireogfyrre,1
608,seksoghalvfems fireogtyve,1
609,fireogfirs,0
610,tohundrede og femogtreds,0
611,toogfyrre ottehundrede og to,1
612,femogfirs,0
613,fireogtreds,0
614,ottehundrede enoghalvfems,1
615,femogtyve nihundrede og seks,1
616,ottehundrede og otteogfyrre,0
617,syvhundrede og syvogtredive,0
618,ti ottehundrede og elleve,1
619,tre femhundrede og niogfyrre,1
620,syvhundrede og tooghalvfems,0
621,tohundrede og sytten,0
622,ethundrede og niogtreds,0
623,fjorten trehundrede og firs,1
624,trehundrede og femoghalvtreds,0
625,ni tohundrede og enogtredive,1
626,to ethundrede og sytten,1
627,trehundrede og tolv,0
628,enogtyve tohundrede og otte,1
629,fjorten tre,1
630,sekshundrede og enogtreds,0
631,syvhundrede og treoghalvfems,0
632,otteogtyve tohundrede og fem,1
633,otteogfirs fyrre,1
634,nihundrede treogtredive,1
635,nihundrede og syv,0
636,ethundrede og nioghalvtreds,0
637,tohundrede og femogfyrre,0
638,tolv tolv,1
639,nioghalvfjerds niogfirs,1
640,femhundrede og tre enogtyve,1
641,femhundrede og syvoghalvfjerds,0
642,fire ethundrede og syvogfirs,1
643,fireogtyve trehundrede og ni,1
644,tohundrede og syv ettusind,1
645,femhundrede og atten,0
646,trehundrede og seksoghalvfjerds,0
647,trehundrede og halvfems ti,1
648,femhundrede og enoghalvfems,0
649,tohundrede og toogtreds,0
650,syvhundrede og ni,0
651,sekshundrede og tyve,0
652,femhundrede og toogtreds,0
653,fem syvhundrede og syvogtyve,1
654,ottehundrede og tyve tyve,1
655,trehundrede og enogfyrre ni,1
656,femhundrede og atten syv,1
657,firehundrede og syv,0
658,nioghalvfems tooghalvfems,1
659,firehundrede og seksoghalvfjerds,0
660,trehundrede og fem syv,1
661,syvhundrede og halvtreds,0
662,fire nihundrede og toogtreds,1
663,ethundrede og seks fire,1
664,ethundrede og treogtyve ti,1
665,syvhundrede og fire,0
666,toogfirs treoghalvtreds,1
667,femten,0
668,treds syvogfyrre,1
669,sekshundrede og to enogfyrre,1
670,syvhundrede og enogtyve,0
671,sekshundrede og otteoghalvfjerds,0
672,seksoghalvfjerds treogtreds,1
673,femhundrede og tyve,0
674,elleve seksoghalvfems,1
675,otte femogfirs,1
676,tolv ethundrede og halvtreds,1
677,nihundrede og otteoghalvfjerds,0
678,ethundrede og femogfyrre,0
679,treoghalvfems otteogtredive,1
680,femhundrede og fireogfirs,0
681,ethundrede og tre,0
682,seksten otteogtreds,1
683,syvhundrede og fireogfirs,0
684,firehundrede og seksogtyve,0
685,enoghalvfjerds femogtredive,1
686,ni sekshundrede og otte,1
687,femhundrede og fjorten,0
688,nihundrede og nioghalvfems,0
689,toogfirs tohundrede og atten,1
690,atten ettusind,1
691,halvfjerds ethundrede og tre,1
692,treogtredive toogfyrre,1
693,syvhundrede og seksogtredive,0
694,sekshundrede og tre to,1
695,treoghalvfjerds tredive,1
696,syvhundrede og et otteogtyve,1
697,ethundrede og otteogtredive,0
698,ottehundrede og femten ti,1
699,firehundrede og enoghalvfjerds,0
700,trehundrede og syv niogtyve,1
701,enogtreds,0
702,nihundrede og seksoghalvfjerds,0
703,fjorten ni,1
704,fire ethundrede og tyve,1
705,trehundrede og sytten,0
706,trehundrede og niogtreds,0
707,trehundrede og femogtreds,0
708,nihundrede og otteoghalvtreds,0
709,tooghalvtreds elleve,1
710,femhundrede og treogtreds,0
711,femhundrede og tooghalvfjerds,0
712,nihundrede og fireogtredive,0
713,niogtyve tohundrede og ni,1
714,syvhundrede og otteogtyve,0
715,ethundrede og nitten,0
716,syvogfirs ethundrede og tyve,1
717,fem ethundrede og enogtreds,1
718,sekshundrede og nioghalvfjerds,0
719,sekshundrede og toogtyve,0
720,tohundrede og treogtreds,0
721,nihundrede og syvogtyve,0
722,nihundrede og fireogtreds,0
723,femhundrede enogtredive,1
724,femhundrede og syvoghalvfems,0
725,syvogtreds otteogtreds,1
726,syvhundrede og halvtreds,0
727,nioghalvfjerds,0
728,femhundrede og ni treogtreds,1
729,syvhundrede og tretten,0
730,femten sekshundrede,1
731,tohundrede,0
732,seksoghalvfjerds firs,1
733,nihundrede og fireoghalvfems,0
734,ni seksten,1
735,femhundrede og femogfirs,0
736,syvhundrede og treogfirs,0
737,firehundrede og syv,0
738,nihundrede og fyrre,0
739,nihundrede og to treogfyrre,1
740,tohundrede og niogfirs,0
741,ni seksogfyrre,1
742,syvhundrede og niogtyve syv,1
743,femhundrede og toogtredive,0
744,tohundrede og toogtredive,0
745,nihundrede og enogfyrre,0
746,firehundrede og nitten to,1
747,toogtyve trehundrede og ti,1
748,sekshundrede og tre tyve,1
749,sekshundrede og tolv,0
750,femhundrede og seksogtyve,0
751,fem,0
752,ethundrede og nitten,0
753,otteoghalvtreds trehundrede,1
754,trehundrede og halvfems,0
755,trehundrede og ti fyrre,1
756,ethundrede og tolv tyve,1
757,fire firehundrede og atten,1
758,femhundrede og treogfirs,0
759,fireogtreds,0
760,ethundrede og tre,0
761,fyrre fireogtredive,1
762,femogfyrre fire,1
763,sekshundrede og seksoghalvfems,0
764,firehundrede og treds,0
765,trehundrede og seksogtyve,0
766,to nihundrede og femogfirs,1
767,firehundrede og ti toogfirs,1
768,ottehundrede og enoghalvtreds,0
769,femogfirs sytten,1
770,trehundrede og ti enogfirs,1
771,ottehundrede og fireogfyrre,0
772,tohundrede og seksogtredive,0
773,ethundrede og enoghalvfjerds,0
774,ottehundrede og enoghalvtreds,0
775,sekshundrede og tre sytten,1
776,nihundrede og toogtredive,0
777,seksogfirs nioghalvtreds,1
778,syvhundrede og niogfyrre ti,1
779,femhundrede og nioghalvtreds,0
780,halvfems nihundrede og tyve,1
781,enogtredive halvfjerds,1
782,femoghalvfems halvtreds,1
783,ni,0
784,niogtreds trehundrede og tre,1
785,femhundrede og elleve atten,1
786,tohundrede og femten elleve,1
787,femhundrede og tyve,0
788,otte toogtredive,1
789,firehundrede og fem syv,1
790,niogtyve toogfirs,1
791,enogtreds atten,1
792,tooghalvtreds seksogfyrre,1
793,femhundrede og otteogtredive,0
794,firehundrede og nioghalvtreds,0
795,nihundrede og treogtredive,0
796,fem trehundrede og femten,1
797,sekshundrede og tretten,0
798,sekshundrede og enogfirs,0
799,nihundrede og atten,0
800,nihundrede og elleve,0
801,nihundrede og syvoghalvtreds,0
802,treogtreds sytten,1
803,nihundrede og otte,0
804,trehundrede og femoghalvtreds,0
805,nihundrede og fireogtyve,0
806,otteogtyve nihundrede,1
807,ethundrede og fyrre toogtyve,1
808,syv nihundrede og et,1
809,ethundrede og nioghalvfems,0
810,nihundrede og et,0
811,sekshundrede og seksogtreds,0
812,ethundrede trehundrede og to,1
813,niogtreds sekshundrede og ti,1
814,syvogfyrre syvogfyrre,1
815,firehundrede og seksogfirs,0
816,femhundrede og seksten ti,1
817,niogtredive enoghalvfems,1
818,syvogtyve treoghalvfems,1
819,tohundrede og nitten,0
820,sekshundrede og ti tre,1
821,tohundrede og otte,0
822,atten niogfirs,1
823,enogtreds treogfirs,1
824,femoghalvtreds femogtyve,1
825,syvhundrede og halvfems fire,1
826,tohundrede og fire fjorten,1
827,syvhundrede og niogtyve,0
828,femhundrede og tooghalvtreds,0
829,tohundrede og ti niogfirs,1
830,ethundrede og ti fireogfyrre,1
831,syvhundrede og seks,0
832,halvtreds fireoghalvfems,1
833,treogfirs ethundrede og seks,1
834,halvfems enoghalvfjerds,1
835,nihundrede og seksoghalvfems,0
836,nihundrede og fem femogfyrre,1
837,fem fireogtreds,1
838,toogtyve femoghalvtreds,1
839,ethundrede og otteogfirs,0
840,ethundrede og tyve enogtreds,1
841,syvogfirs ethundrede og tyve,1
842,femhundrede og tyve niogfirs,1
843,nihundrede og syvogtreds,0
844,trehundrede og ni femogtyve,1
845,ottehundrede og otte,0
846,tohundrede og niogtreds,0
847,enogfyrre tohundrede og et,1
848,otte et,1
849,femhundrede og syvogfirs tre,1
850,syvhundrede og enogfyrre,0
851,ottehundrede og femoghalvfems,0
852,trehundrede og treds tolv,1
